Date,Subcategory,Payee,Reference,Amount
15-02-2024,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
26-02-2024,Counter Credit,Tenant,Rent Payment,1800.0
27-02-2024,Funds Transfer,Spouse,RENT FOR FLAT 12,-1350.0
27-02-2024,Funds Transfer,Spouse,SAVINGS,-450.0
28-02-2024,Counter Credit,Employer,Employer BG,8962.34
04-03-2024,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
06-03-2024,Cash Withdrawal,CARDTRONICS UK LTD    TRITON SQUARE 1243,06M,-200.0
07-03-2024,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,5.0
11-03-2024,Direct Debit,EE LIMITED,xxxxxx,-6.0
11-03-2024,Direct Debit,TESCO BANK,xxxxxx,-561.87
12-03-2024,Card Purchase,Aviva Zero,ON 11 MAR,-399.91
13-03-2024,Direct Debit,SKY DIGITAL,xxxxxx,-113.89
15-03-2024,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
22-03-2024,Counter Credit,Employer,Employer BG,8597.13
22-03-2024,Counter Credit,Employer,Employer BG,202.32
25-03-2024,Funds Transfer,Self,TO REVOLUT -9H6K-,-1000.0
25-03-2024,Counter Credit,Tenant,Rent Payment,1800.0
27-03-2024,Funds Transfer,Spouse,RENT FOR FLAT 12,-1350.0
27-03-2024,Funds Transfer,Spouse,SAVINGS,-450.0
28-03-2024,Funds Transfer,Spouse,SAVINGS,-10000.0
28-03-2024,Card Purchase,Revolut**7378*,ON 27 MAR,-1000.0
02-04-2024,Direct Debit,247 HOME RESCUE xxxxxx,PA,-12.59
03-04-2024,Counter Credit,PLUSNET PLC PAY AC,xxxxxx,0.19
03-04-2024,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
04-04-2024,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,5.0
04-04-2024,Funds Transfer,RED ROCK ESTATE,xxxxxx,-2499.0
04-04-2024,Funds Transfer,RED ROCK ESTATE,xxxxxx,-300.0
08-04-2024,Funds Transfer,xxxxxx,SAVINGS,39.06
08-04-2024,Direct Debit,TESCO BANK,xxxxxx,-585.05
10-04-2024,Direct Debit,EE LIMITED,xxxxxx,-11.05
15-04-2024,Funds Transfer,xxxxxx,MORTGAGE,2000.0
15-04-2024,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
15-04-2024,Direct Debit,SKY DIGITAL,xxxxxx,-75.0
17-04-2024,Funds Transfer,xxxxxx,AMEX BILL,3000.0
17-04-2024,Funds Transfer,Spouse,AMEX BILL,-3000.0
22-04-2024,Counter Credit,Self,Sent from Revolut,775.0
23-04-2024,Funds Transfer,xxxxxx,SAVINGS,-750.0
25-04-2024,Counter Credit,Tenant,Rent Payment,1800.0
25-04-2024,Funds Transfer,Spouse,SAVINGS,-1600.0
25-04-2024,Funds Transfer,Spouse,RENT FOR FLAT 12,-200.0
26-04-2024,Counter Credit,Employer,Employer BG,9025.16
29-04-2024,Funds Transfer,xxxxxx,SAVINGS,-4000.0
29-04-2024,Funds Transfer,Spouse,SAVINGS,-4000.0
01-05-2024,Direct Debit,247 HOME RESCUE,xxxxxx,-12.59
02-05-2024,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
07-05-2024,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,5.0
09-05-2024,Direct Debit,TESCO BANK,xxxxxx,-746.02
10-05-2024,Direct Debit,EE LIMITED,xxxxxx,-44.27
13-05-2024,Funds Transfer,xxxxxx,EXPENSES,1500.0
13-05-2024,Funds Transfer,Spouse,EXPENSES,-1600.0
13-05-2024,Direct Debit,SKY DIGITAL,xxxxxx,-75.0
14-05-2024,Funds Transfer,xxxxxx,MORTGAGE,2300.0
15-05-2024,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
15-05-2024,Card Purchase,LONDONBOROOFREDBRI,ON 14 MAY,-320.0
28-05-2024,Counter Credit,Employer,Employer BG,9025.16
29-05-2024,Card Purchase,SCREWFIX DIRECT,ON 28 MAY,-34.99
31-05-2024,Funds Transfer,Spouse,FLAT 12 REPAIRS,-800.0
31-05-2024,Funds Transfer,Spouse,MORTGAGE,-200.0
03-06-2024,Direct Debit,247 HOME RESCUE,xxxxxx,-12.59
03-06-2024,Card Purchase,SCREWFIX DIRECT,ON 02 JUN,34.99
04-06-2024,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
05-06-2024,Counter Credit,DEPOSIT PROTECTION,xxxxxx,850.0
07-06-2024,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,5.0
07-06-2024,Funds Transfer,Spouse,SAVINGS,-765.0
10-06-2024,Card Purchase,DEPOSIT LODGEMENT-,ON 07 JUN,-2100.0
10-06-2024,Direct Debit,EE LIMITED,xxxxxx,-7.36
10-06-2024,Direct Debit,TESCO BANK,xxxxxx,-588.06
13-06-2024,Direct Debit,SKY DIGITAL,xxxxxx,-75.0
13-06-2024,Card Purchase,NATIONAL WESTMINST,ON 12 JUN,-4320.0
14-06-2024,Transfer,Self,MORTGAGE,972.56
17-06-2024,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
18-06-2024,Card Purchase,LONDONBOROOFREDBRI,ON 17 JUN,-35.63
26-06-2024,Counter Credit,Employer,Employer BG,8659.5
27-06-2024,Funds Transfer,Spouse,SAVINGS,-800.0
27-06-2024,Funds Transfer,xxxxxx,SAVINGS,-5000.0
01-07-2024,Direct Debit,247 HOME RESCUE,xxxxxx,-12.59
02-07-2024,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
04-07-2024,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,5.0
04-07-2024,Funds Transfer,Spouse,SAVINGS,-2100.0
08-07-2024,Funds Transfer,xxxxxx,BILLS,500.0
